"","n_sims","price","lower","upper"
"133",886020.134228188,1349616.90085111,1343919.90072871,1355313.90097351
"134",892724.832214765,1342030.39217209,1336380.00952343,1347680.77482074
"135",899429.530201342,1347592.10231895,1341948.33749153,1353235.86714638
"136",906134.228187919,1344269.4202129,1338656.00964567,1349882.83078013
"137",912838.926174497,1340853.26829888,1335253.44679036,1346453.0898074
"138",919543.624161074,1341635.21469555,1336065.92292116,1347204.50646995
"139",926248.322147651,1350219.53430491,1344657.86340647,1355781.20520335
"140",932953.020134228,1344477.22601106,1338934.66868936,1350019.78333275
"141",939657.718120805,1343832.26051248,1338322.33841383,1349342.18261112
"142",946362.416107383,1342351.80094436,1336863.76366698,1347839.83822174
"143",953067.11409396,1342064.7175924,1336589.37404414,1347540.06114066
"144",959771.812080537,1347460.84009559,1341992.82128021,1352928.85891096
"145",966476.510067114,1338615.84862336,1333187.56701746,1344044.13022927
"146",973181.208053691,1343130.48094309,1337709.30647067,1348551.65541551
"147",979885.906040268,1344614.11185002,1339211.81034622,1350016.41335383
"148",986590.604026846,1343671.26404313,1338282.88781216,1349059.6402741
"149",993295.302013423,1340480.27078358,1335123.03100682,1345837.51056033
"150",1e+06,1347201.64647744,1341838.41082636,1352564.88212852
